episode_id,enterprise_id,onset_date,resolution_date,first_missed_repayment,duration_days,mechanism,severity,min_buffer_days,causal_drivers,label_source
EP0152,ENT0189,2024-04-24,,2024-09-11,828,margin_squeeze,high,-3.5,"{""margin_squeeze"": 0.531, ""working_capital_erosion"": 0.226, ""climate_shock"": 0.187, ""demand_trough"": 0.105}",simulator
EP0153,ENT0189,2025-05-11,,,446,working_capital_erosion,high,-4.0,"{""working_capital_erosion"": 0.186, ""climate_shock"": 0.181, ""margin_squeeze"": 0.163}",simulator
EP0154,ENT0189,2026-04-20,,,102,margin_squeeze,high,-4.0,"{""margin_squeeze"": 1.474, ""receivable_stretch"": 0.288, ""demand_trough"": 0.2, ""climate_shock"": 0.105, ""working_capital_erosion"": 0.058}",simulator
EP0155,ENT0192,2024-02-15,2025-12-19,,673,margin_squeeze,high,1.3,"{""margin_squeeze"": 0.068}",simulator
EP0156,ENT0192,2024-07-06,2025-12-19,,531,working_capital_erosion,high,-4.8,"{""working_capital_erosion"": 1.269, ""margin_squeeze"": 0.597, ""demand_trough"": 0.411, ""receivable_stretch"": 0.307, ""climate_shock"": 0.118}",simulator
EP0157,ENT0192,2025-05-11,2025-12-19,,222,working_capital_erosion,high,-4.3,"{""working_capital_erosion"": 0.186, ""climate_shock"": 0.181, ""margin_squeeze"": 0.163}",simulator
EP0158,ENT0192,2026-05-14,,,78,margin_squeeze,high,-3.4,"{""margin_squeeze"": 1.661, ""working_capital_erosion"": 0.204, ""climate_shock"": 0.176, ""demand_trough"": 0.154}",simulator
EP0159,ENT0198,2024-05-16,,2024-10-31,806,climate_shock,high,-3.5,"{""climate_shock"": 1.21, ""margin_squeeze"": 0.743, ""working_capital_erosion"": 0.33, ""demand_trough"": 0.151, ""debt_overhang"": 0.149}",simulator
EP0160,ENT0198,2025-04-21,,2025-04-30,466,receivable_stretch,high,-3.8,"{""receivable_stretch"": 0.497, ""working_capital_erosion"": 0.278, ""demand_trough"": 0.144, ""margin_squeeze"": 0.08}",simulator
EP0161,ENT0198,2026-04-16,,,106,margin_squeeze,high,-3.5,"{""margin_squeeze"": 1.458}",simulator
EP0162,ENT0199,2024-05-25,2025-03-03,,282,climate_shock,high,-3.2,"{""climate_shock"": 1.244, ""margin_squeeze"": 0.804, ""working_capital_erosion"": 0.372, ""demand_trough"": 0.09}",simulator
EP0163,ENT0199,2025-05-21,2026-01-23,,247,margin_squeeze,high,-3.1,"{""margin_squeeze"": 0.358, ""working_capital_erosion"": 0.248, ""climate_shock"": 0.199}",simulator
EP0164,ENT0199,2026-05-05,,,87,margin_squeeze,high,-3.6,"{""margin_squeeze"": 1.576, ""demand_trough"": 0.311, ""climate_shock"": 0.154, ""working_capital_erosion"": 0.149}",simulator
EP0165,ENT0200,2024-01-27,2024-11-04,,282,demand_trough,high,-6.6,"{""demand_trough"": 0.309, ""working_capital_erosion"": 0.233, ""climate_shock"": 0.062}",simulator
EP0166,ENT0202,2024-08-31,2025-02-23,,176,margin_squeeze,high,-0.9,"{""margin_squeeze"": 0.85, ""debt_overhang"": 0.575, ""demand_trough"": 0.55, ""working_capital_erosion"": 0.327}",simulator
EP0167,ENT0202,2025-08-21,2025-12-18,,119,margin_squeeze,high,-1.9,"{""margin_squeeze"": 1.146, ""receivable_stretch"": 0.565, ""demand_trough"": 0.552, ""working_capital_erosion"": 0.287}",simulator
EP0168,ENT0203,2024-08-31,,2025-07-04,699,margin_squeeze,high,0.0,"{""margin_squeeze"": 0.666, ""debt_overhang"": 0.598, ""working_capital_erosion"": 0.549, ""demand_trough"": 0.525}",simulator
EP0169,ENT0203,2025-01-27,,2025-07-04,550,demand_trough,high,-6.7,"{""demand_trough"": 1.355, ""receivable_stretch"": 0.83, ""working_capital_erosion"": 0.725, ""debt_overhang"": 0.55}",simulator
EP0170,ENT0203,2025-06-19,,2025-07-04,407,margin_squeeze,high,-7.8,"{""margin_squeeze"": 0.929, ""working_capital_erosion"": 0.584, ""debt_overhang"": 0.527, ""climate_shock"": 0.098}",simulator
EP0171,ENT0203,2026-02-24,,,157,margin_squeeze,high,-7.5,"{""margin_squeeze"": 1.1}",simulator
EP0172,ENT0205,2024-06-17,2024-12-15,,181,climate_shock,high,-1.6,"{""climate_shock"": 1.234, ""margin_squeeze"": 0.859, ""working_capital_erosion"": 0.612, ""debt_overhang"": 0.151}",simulator
EP0173,ENT0205,2026-05-28,,,64,margin_squeeze,high,-3.5,"{""margin_squeeze"": 1.705, ""climate_shock"": 1.145, ""working_capital_erosion"": 0.291, ""debt_overhang"": 0.064}",simulator
EP0174,ENT0206,2024-05-21,,,801,climate_shock,high,-4.1,"{""climate_shock"": 1.228, ""margin_squeeze"": 0.782, ""working_capital_erosion"": 0.353, ""demand_trough"": 0.162}",simulator
EP0175,ENT0206,2025-05-06,,,451,demand_trough,high,-3.4,"{""demand_trough"": 0.394, ""margin_squeeze"": 0.235, ""working_capital_erosion"": 0.154, ""climate_shock"": 0.13}",simulator
EP0176,ENT0206,2026-04-18,,,104,margin_squeeze,high,-3.2,"{""margin_squeeze"": 1.471, ""climate_shock"": 0.056}",simulator
EP0177,ENT0222,2023-12-02,2024-03-12,,101,working_capital_erosion,high,-3.7,"{""working_capital_erosion"": 0.676}",simulator
EP0178,ENT0223,2024-05-13,,2024-06-25,809,margin_squeeze,high,-4.3,"{""margin_squeeze"": 0.604, ""working_capital_erosion"": 0.316, ""demand_trough"": 0.287, ""climate_shock"": 0.152, ""debt_overhang"": 0.07}",simulator
EP0179,ENT0223,2025-04-12,,,475,receivable_stretch,high,-5.3,"{""receivable_stretch"": 0.512, ""margin_squeeze"": 0.275}",simulator
EP0180,ENT0223,2026-04-21,,,101,demand_trough,high,-3.6,"{""demand_trough"": 0.258, ""margin_squeeze"": 0.204, ""working_capital_erosion"": 0.065}",simulator
EP0181,ENT0226,2023-12-13,2025-01-27,,411,working_capital_erosion,high,-7.7,{},simulator
EP0182,ENT0226,2024-08-11,2025-01-27,,169,receivable_stretch,high,-5.5,"{""receivable_stretch"": 1.466, ""working_capital_erosion"": 0.241, ""demand_trough"": 0.192}",simulator
EP0183,ENT0231,2025-12-02,2026-02-05,,65,receivable_stretch,high,-16.1,"{""receivable_stretch"": 0.996, ""working_capital_erosion"": 0.445}",simulator
EP0184,ENT0232,2024-09-02,2024-12-02,2025-08-19,91,demand_trough,high,-2.6,"{""demand_trough"": 0.909, ""margin_squeeze"": 0.83, ""working_capital_erosion"": 0.638}",simulator
EP0185,ENT0232,2025-07-03,,2025-08-19,393,receivable_stretch,high,-1.6,"{""receivable_stretch"": 1.852, ""margin_squeeze"": 1.31, ""debt_overhang"": 0.78, ""working_capital_erosion"": 0.275, ""climate_shock"": 0.218}",simulator
EP0186,ENT0232,2026-02-27,,2026-06-19,154,margin_squeeze,high,-2.8,"{""margin_squeeze"": 1.1, ""working_capital_erosion"": 0.524}",simulator
EP0187,ENT0233,2024-02-08,2025-09-24,2024-04-05,594,working_capital_erosion,high,-5.6,{},simulator
EP0188,ENT0233,2024-08-21,2025-09-24,2024-09-05,399,margin_squeeze,high,-7.5,"{""margin_squeeze"": 0.853, ""working_capital_erosion"": 0.851, ""debt_overhang"": 0.53, ""demand_trough"": 0.194}",simulator
EP0189,ENT0236,2024-02-21,2025-07-22,,517,demand_trough,medium,4.5,"{""demand_trough"": 0.195, ""working_capital_erosion"": 0.084}",simulator
EP0190,ENT0236,2025-03-15,2025-07-22,,129,receivable_stretch,medium,5.3,"{""receivable_stretch"": 0.619, ""climate_shock"": 0.053}",simulator
EP0191,ENT0239,2024-05-26,2024-12-25,,213,margin_squeeze,high,0.2,"{""margin_squeeze"": 0.621, ""working_capital_erosion"": 0.377, ""demand_trough"": 0.262, ""climate_shock"": 0.226}",simulator
EP0192,ENT0241,2025-08-21,2026-02-03,,166,margin_squeeze,high,-3.0,"{""margin_squeeze"": 0.844, ""working_capital_erosion"": 0.6, ""receivable_stretch"": 0.468, ""demand_trough"": 0.337}",simulator
EP0193,ENT0241,2026-05-12,,,80,margin_squeeze,low,11.6,"{""margin_squeeze"": 1.955, ""climate_shock"": 0.058}",simulator
EP0194,ENT0243,2026-06-03,,,58,margin_squeeze,high,-1.9,"{""margin_squeeze"": 1.74, ""climate_shock"": 1.177, ""working_capital_erosion"": 0.494, ""demand_trough"": 0.176}",simulator
EP0195,ENT0244,2024-08-25,2026-02-07,,531,debt_overhang,high,-8.4,"{""debt_overhang"": 1.166, ""working_capital_erosion"": 1.009, ""margin_squeeze"": 0.902, ""demand_trough"": 0.206}",simulator
EP0196,ENT0244,2025-07-12,2026-02-07,,210,margin_squeeze,low,8.1,"{""margin_squeeze"": 1.297, ""demand_trough"": 0.246, ""working_capital_erosion"": 0.187, ""climate_shock"": 0.157}",simulator
EP0197,ENT0244,2026-07-04,,,27,margin_squeeze,medium,7.7,"{""margin_squeeze"": 1.296, ""climate_shock"": 1.109, ""working_capital_erosion"": 0.085}",simulator
EP0198,ENT0245,2023-11-29,2024-04-28,,151,working_capital_erosion,high,-7.8,"{""working_capital_erosion"": 0.172}",simulator
EP0199,ENT0247,2023-11-29,2024-03-20,,112,working_capital_erosion,high,-7.2,{},simulator
EP0200,ENT0249,2024-02-11,2025-01-31,2024-03-02,355,demand_trough,high,-3.7,"{""demand_trough"": 0.517, ""working_capital_erosion"": 0.254}",simulator
EP0201,ENT0249,2024-08-02,2025-01-31,,182,working_capital_erosion,high,-4.3,"{""working_capital_erosion"": 0.322, ""demand_trough"": 0.059}",simulator
EP0202,ENT0251,2024-03-02,2024-09-14,,196,working_capital_erosion,high,2.2,"{""working_capital_erosion"": 0.09}",simulator
